"activity","sex","meanx","meany","meanz","skewx","skewy","skewz","kurtx","kurty","kurtz","corxy","coryz","corxz","e1","e2","e3"
"standup_chair",1,-3.5779407386201,3.19707977860483,7.29390848363394,-0.0274302911947812,0.125669216069458,-0.133152653728704,1.11667862273685,1.51133237324335,1.18265008738709,-0.922176084856925,-0.902503838671052,0.970217671908624,443.527674834459,266.094748081359,423.700864413009
"sitdown_chair",1,-3.16421679197995,4.25889243943191,6.82610651629073,-0.119471151155836,0.579430795493798,-0.109792318797946,1.1067946734339,3.38443031971745,1.24855426899364,0.667954366957813,0.642589875161134,0.960220002818361,472.672195797522,239.32312310769,372.405477776353
"pour_water",1,0.77390838772057,0.893609378776891,8.67654411409234,0.483498928267781,-0.24662083137936,0.504983540063057,2.33852790684595,1.28215600247484,3.489376456254,0.746131424112126,0.182876153883966,0.197920128407522,154.154113863881,264.91004596759,217.244520735076
"drink_glass",1,2.30095895462562,3.31190299823633,8.92790941157608,0.453939834798162,-0.860367341044081,0.222004762236885,1.78885986035087,2.13998640048792,3.77348766044784,-0.874616591358947,0.00785370770182328,-0.0617217864811943,114.905158318052,155.686729261484,143.503173559521
"drink_glass",1,2.54193091884641,3.66393199195171,8.58074325955734,0.227904511105356,-0.737835913879059,-1.34253688523795,3.24983472899048,2.04491160945252,14.1430601332362,-0.863252521287179,-0.24655729635272,0.279275766759178,174.864982734811,211.028202093861,192.728175770439
"standup_chair",1,-5.170488771311,5.10822845385068,5.11284032921811,0.905076093093064,0.960329607125478,0.665282104270952,1.96314973420951,3.16571172401914,1.74455448798092,0.851844940771235,0.858184993156047,0.956636042887226,402.609828145378,216.152688362808,250.174424379904
"sitdown_chair",1,-2.48176543209877,4.56056825396825,7.04867501469724,-0.419256877367271,3.0859223120659,-0.536892358461662,1.30019620428903,25.7111843894842,1.51936626726826,0.236830528123676,0.11156172277107,0.940652810494015,405.723719221785,214.825457260843,328.248980864866
"pour_water",1,1.07039853479854,1.2930989010989,9.11395262515263,0.285100748345566,-0.838871627275422,0.417153674756823,2.48047933507546,2.04763865424019,6.57244391456444,0.682912242702112,0.460890111051516,0.198631530996874,156.876438426488,263.011466004532,227.569477160088
"drink_glass",1,2.4679884315308,2.82018132902879,9.04225585149314,0.756292511683315,-0.52576038955484,0.758686066328284,2.11036670745698,2.27054129004494,8.32027179709583,-0.693546012443048,0.269006377344448,-0.661992497424442,158.682718948762,209.722907487785,202.463362463234
"pour_water",1,0.946412414965986,1.39529818594104,9.01245890022676,0.489779543266971,-0.337689770379908,-0.0877171857920567,2.36708230844459,1.44456367190663,3.96061098362549,0.668326756718837,-0.0942806608287254,-0.031355214442555,123.444057257534,204.8524246163,176.793972935532
"drink_glass",0,4.07225913621262,1.07585208036703,8.02041132732163,-0.530128071493324,0.346140845325427,1.0384751892295,1.53776653128216,1.63784929047913,6.08392604308658,-0.81400164273482,0.548634129012254,-0.717650311912482,377.92482464372,440.147350186845,363.120820616911
"pour_water",0,0.687305787888925,2.02364257834281,9.1438462138954,0.0848536764756129,-1.04601657792775,-0.129215257366384,2.18162027696094,3.0816852986983,2.81255565250931,0.68458072868149,0.201906724097769,-0.00433616188635403,165.433606658579,310.599771206231,262.876986368765
